model,concept,compression,FAR,SAS,FC
mistral-medium-3,f_equals_ma,0.75,0.36,0.92,0.81
mistral-medium-3,f_equals_ma,0.75,0.68,0.92,0.87
gpt-oss-120b,natural_selection,0.25,0.18,0.92,0.97
gpt-oss-120b,natural_selection,0.25,0.13,0.92,0.97
gpt-oss-120b,natural_selection,0.25,0.92,0.18,0.87
gpt-oss-120b,natural_selection,0.25,0.94,0.13,0.97
phi-4-mini-instruct,derivative,0.0,0.97,0.12,0.95
phi-4-mini-instruct,derivative,0.0,0.18,0.82,0.91
phi-4-mini-instruct,derivative,0.0,0.92,0.18,0.81
phi-4-mini-instruct,derivative,0.0,0.97,0.08,0.91
grok-4-fast-reasoning,f_equals_ma,0.0,0.08,0.92,0.95
grok-4-fast-reasoning,f_equals_ma,0.0,0.97,0.12,0.93
grok-4-fast-reasoning,f_equals_ma,0.0,0.97,0.12,0.95
grok-4-fast-reasoning,f_equals_ma,0.0,0.97,0.11,0.93
deepseek-v3-0324,impressionism,0.0,0.88,0.42,0.91
deepseek-v3-0324,impressionism,0.0,0.92,0.18,0.81
deepseek-v3-0324,impressionism,0.0,0.68,0.77,0.81
deepseek-v3-0324,impressionism,0.0,0.92,0.18,0.87
